"x","predicted","std.error","conf.low","conf.high","response.level","group","Taxa"
-3.500583089,0.704450328487999,0.153321372129662,0.403945961053599,1.0049546959224,"1","Adgt","Adgt"
-3.500583089,0.136995629209467,0.054528535275115,0.03012166394052,0.243869594478415,"2","Adgt","Adgt"
-3.500583089,0.0865289066236013,0.0491966978295558,-0.00989484928062788,0.18295266252783,"3","Adgt","Adgt"
-3.500583089,0.0582312200462362,0.0399099884523684,-0.0199909199438153,0.136453360036288,"4","Adgt","Adgt"
-3.500583089,0.0113839039249617,0.00850521630105843,-0.00528601370583581,0.0280538215557592,"5","Adgt","Adgt"
-3.500583089,0.00241001170773392,0.00185160675804507,-0.0012190708515654,0.00603909426703323,"6","Adgt","Adgt"
-3.500583089,0.882216303540683,0.0454677126626268,0.793101224262519,0.971331382818847,"1","Pmas","Pmas"
-3.500583089,0.0617916382835276,0.0223323983165414,0.0180209418947037,0.105562334672352,"2","Pmas","Pmas"
-3.500583089,0.0323171394240853,0.0131324818473066,0.0065779479757382,0.0580563308724323,"3","Pmas","Pmas"
-3.500583089,0.0193465200298224,0.00836133451298024,0.00295860552168937,0.0357344345379554,"4","Pmas","Pmas"
-3.500583089,0.00357887072386476,0.00160979405071773,0.000423732361931172,0.00673400908579834,"5","Pmas","Pmas"
-3.500583089,0.000749527998016752,0.000350572733661323,6.24180660788069e-05,0.0014366379299547,"6","Pmas","Pmas"
-3.500583089,0.795884125482556,0.220106275388092,0.364483752950641,1.22728449801447,"1","Pver","Pver"
-3.500583089,0.101315211499746,0.0940211107289584,-0.0829627793154654,0.285593202314956,"2","Pver","Pver"
-3.500583089,0.0579038622990163,0.0671751343983939,-0.0737569817784734,0.189564706376506,"3","Pver","Pver"
-3.500583089,0.0365211335691958,0.0475952248822175,-0.0567637930360351,0.129806060174427,"4","Pver","Pver"
-3.500583089,0.00691976558748625,0.00949688649371438,-0.0116937899054588,0.0255333210804313,"5","Pver","Pver"
-3.500583089,0.00145590156200059,0.00202502189377336,-0.00251306841770029,0.00542487154170148,"6","Pver","Pver"
