"x","predicted","std.error","conf.low","conf.high","response.level","group","facet","panel","Taxa","Zone","Cross_shelf"
0.054390497,0.208512978863913,0.0490125713182552,0.112450104290432,0.304575853437394,"1","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.178695922884214,0.0230252582141544,0.133567246049737,0.223824599718692,"2","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.177659745497869,0.012354067042502,0.153446219031971,0.201873271963766,"3","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.33908029579673,0.0485453735803871,0.243933111963129,0.434227479630331,"4","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.083380332935506,0.0236009808447757,0.037123260479926,0.129637405391086,"5","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.0126707240217681,0.00550439396757844,0.00188231008859477,0.0234591379549413,"6","offshore","Abra","S","Abra","S","offshore"
0.054390497,0.863906234447545,0.038001781151639,0.78942411204196,0.938388356853131,"1","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.0744624366357177,0.0195377068842284,0.0361692348021297,0.112755638469306,"2","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.0306523552778041,0.00922568987322026,0.0125703353937565,0.0487343751618517,"3","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.0265885318649478,0.00846773475836874,0.00999207670790711,0.0431849870219885,"4","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.00385812629949234,0.00135091801764274,0.00121037563884631,0.00650587696013836,"5","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.000532315474492839,0.00024836236788267,4.55341783277195e-05,0.00101909677065796,"6","offshore","Pmas","S","Pmas","S","offshore"
0.054390497,0.368618460848911,0.0763734715593368,0.218929207218317,0.518307714479506,"1","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.214771260251046,0.0119063837274551,0.19143517695912,0.238107343542972,"2","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.15867145721477,0.0200937514854676,0.119288427988955,0.198054486440585,"3","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.212185463032439,0.0488933936339646,0.116356172427928,0.308014753636949,"4","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.0399958337791311,0.0131965849602541,0.0141310025381101,0.065860665020152,"5","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.00575752487370285,0.00265163640591244,0.000560413018019238,0.0109546367293865,"6","offshore","Menc","S","Menc","S","offshore"
0.054390497,0.705001135175959,0.0749236047416319,0.558153568290446,0.851848702061472,"1","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.146456602210836,0.0300914691423967,0.0874784064498398,0.205434797971832,"2","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.0702720766510241,0.0201113386003857,0.0308545773133779,0.10968957598867,"3","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.066692530398324,0.0222168820155582,0.0231482417990543,0.110236818997594,"4","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.0101649707207567,0.00386317077441815,0.00259329513676945,0.017736646304744,"5","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.00141268484310075,0.000694229822279906,5.20193944384948e-05,0.00277335029176301,"6","offshore","Lobo_sp","S","Lobo_sp","S","offshore"
0.054390497,0.630057967478019,0.0727544365132861,0.487461892196472,0.772654042759566,"1","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.173284601640487,0.0250024993053374,0.124280603478538,0.222288599802436,"2","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.0901880318251922,0.0204617120890804,0.0500838130685668,0.130292250581818,"3","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.0902990051246341,0.0251069313106692,0.0410903239934015,0.139507686255867,"4","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.0141892290541625,0.00470733511948845,0.00496302175680462,0.0234154363515204,"5","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.00198116487750499,0.000901821536349426,0.000213627145777539,0.00374870260923245,"6","offshore","Acor","S","Acor","S","offshore"
0.054390497,0.410878358504733,0.075072144362383,0.263739659312271,0.558017057697195,"1","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.214986400335809,0.0117308775529332,0.191994302825011,0.237978497846608,"2","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.148744289399692,0.0207603971652025,0.108054658651148,0.189433920148236,"3","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.186803248977661,0.0432165890121846,0.10210029097911,0.271506206976212,"4","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.033763558891916,0.0108304253285044,0.0125363153107969,0.054990802473035,"5","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.0048241438901887,0.00217967724308208,0.000552054995826278,0.00909623278455113,"6","offshore","Plat","S","Plat","S","offshore"
0.054390497,0.304393532325144,0.0948782365201799,0.118435605828918,0.490351458821369,"1","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.207701543799082,0.0203633672000636,0.167790077482993,0.247613010115171,"2","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.171078471203779,0.0187352817449527,0.134357993743461,0.207798948664097,"3","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.256702657373437,0.0723460831050836,0.114906940064932,0.398498374681943,"4","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.0524569902109543,0.0227806388566578,0.00780775850709124,0.0971062219148174,"5","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.00766680508760342,0.00423947521234567,-0.000642413641944386,0.0159760238171512,"6","offshore","Abra","D","Abra","D","offshore"
0.054390497,0.903748831177209,0.0355244521307182,0.834122184430484,0.973375477923934,"1","offshore","Pmas","D","Pmas","D","offshore"
